Perioden;Regios;Totaal aantal lopend;Tot per 100.000 inwoners lopend;Totaal aantal gesloten;Tot per 100.000 inwoners gesloten;Totaal aantal mannen lopend;Tot per 100.000 inwoners mannen lopend;Totaal aantal mannen gesloten;Tot per 100.000 inwoners mannen gesloten;Totaal aantal vrouwen lopend;Tot per 100.000 inwoners vrouwen lopend;Totaal aantal vrouwen gesloten;Tot per 100.000 inwoners vrouwen gesloten;Tot lopend 0-20;Tot gesloten 0-20;0-20;Tot lopend 20-40;Tot gesloten 20-40;20-40;Tot lopend 40-60;Tot gesloten 40-60;40-60;Tot lopend 60-80;Tot gesloten 60-80;60-80;Tot lopend 80-ouder;Tot gesloten 80-ouder;80-ouder;65+ totaal;80+ totaal;65+ mannen;80+ mannen;65+ vrouwen;80+ vrouwen
2016;Friesland;140;21;120;19;30;9;25;7;110;34;100;31;0;0;0;0;0;0;15;5;20;85;80;165;40;40;80;127902;29892;59338;11154;68564;18738
2016;Drenthe;755;154;595;121;340;140;275;113;415;167;320;129;0;0;0;5;5;10;20;10;30;345;255;600;385;325;710;104411;25248;48129;9680;56282;15568
2016;Overijssel;595;52;400;35;260;45;180;31;335;59;220;39;0;0;0;0;0;0;20;15;35;250;155;405;325;230;555;205821;49487;94102;18329;111719;31158
2016;Flevoland;115;28;75;18;55;28;40;19;55;27;35;18;0;0;0;0;0;0;5;5;10;55;35;90;50;35;85;49788;9964;23551;3917;26237;6047
2016;Gelderland;1025;50;770;38;455;45;345;34;575;56;420;41;0;0;0;5;5;10;30;25;55;445;325;770;550;415;965;381065;90152;173316;33336;207749;56816
2016;Utrecht;705;55;460;36;285;45;180;29;420;64;280;43;0;0;0;20;20;40;55;40;95;280;185;465;350;220;570;200895;47739;90115;17483;110780;30256
2016;Noord-Holland ;2915;104;2075;74;1300;94;935;68;1615;114;1140;81;0;0;0;5;5;10;50;35;85;1100;780;1880;1760;1260;3020;471572;110176;214889;41180;256683;68996
2016;Zuid-Holland ;2930;81;2195;60;1085;60;800;45;1845;100;1395;76;0;0;0;5;5;10;55;45;100;980;685;1665;1890;1465;3355;619694;151466;280803;56313;338891;95153
2016;Zeeland;25;7;25;7;15;8;15;8;10;5;10;5;0;0;0;5;5;10;0;0;0;20;20;40;5;5;10;83623;20670;38601;7908;45022;12762
2016;Noord-Brabant;2035;81;1540;61;885;71;665;53;1150;92;870;70;0;0;0;5;5;10;60;35;95;925;695;1620;1045;805;1850;469856;108726;217791;41225;252065;67501
2016;Limburg;1340;120;1030;92;500;90;385;70;840;149;645;114;0;0;0;0;0;0;25;15;40;495;370;865;820;650;1470;241731;57375;111651;21298;130080;36077
